id;nombre;dependencia;nivelMaximo;desempeno_media;desempeno_basica;simce_matematica_media_puntaje;simce_matematica_media_descripcion;simce_lenguaje_media_puntaje;simce_lenguaje_media_descripcion;simce_matematica_basica_puntaje;simce_matematica_basica_descripcion;simce_lenguaje_basica_puntaje;simce_lenguaje_basica_descripcion;comuna;direccion;autoestima_motivacion_basica_puntaje;autoestima_motivacion_basica_descripcion;convivencia_basica_puntaje;convivencia_basica_descripcion;vida_saludable_basica_puntaje;vida_saludable_basica_descripcion;formacion_ciudadana_basica_puntaje;formacion_ciudadana_basica_descripcion;autoestima_motivacion_media_puntaje;autoestima_motivacion_media_descripcion;convivencia_media_puntaje;convivencia_media_descripcion;vida_saludable_media_puntaje;vida_saludable_media_descripcion;formacion_ciudadana_media_puntaje;formacion_ciudadana_media_descripcion
9767;LICEO MADRE CECILIA LAZZERI;PARTICULAR SUBVENCIONADO;IV Medio;Medio;Medio;311;Más alto;270;Similar;287;Similar;263;Más alto;La Cisterna;AV. PEDRO AGUIRRE CERDA 0291;71;Similar;69;Más bajo;66;Similar;73;Similar;75;Similar;76;Similar;66;Más bajo;80;Más alto
9757;CENTRO EDUCACIONAL SANTA CLARA;PARTICULAR SUBVENCIONADO;IV Medio;Medio;Medio;299;Más alto;270;Más alto;262;Similar;234;Más bajo;La Cisterna;GENERAL FREIRE 236;67;Más bajo;69;Más bajo;62;Más bajo;70;Más bajo;78;Más alto;79;Más alto;69;Similar;78;Similar
9766;COLEGIO SANTA MARIA DE LOS ANGELES;PARTICULAR SUBVENCIONADO;IV Medio;Medio;Medio;304;Similar;268;Similar;274;Más bajo;261;Similar;La Cisterna;GRAN AVENIDA 9439;68;Más bajo;75;Similar;66;Similar;74;Similar;78;Más alto;80;Más alto;77;Más alto;81;Más alto
25480;COLEGIO JOSE LUIS LEGRANGE DE LA CISTERNA;PARTICULAR SUBVENCIONADO;IV Medio;Medio;Medio;294;Similar;278;Similar;259;Más bajo;241;Más bajo;La Cisterna;SANTA ANSELMA 0198;61;Más bajo;64;Más bajo;58;Más bajo;64;Más bajo;72;Similar;69;Más bajo;64;Más bajo;72;Más bajo
25727;LICEO PART. SALESIANO MANUEL ARRIARAN BARROS;PARTICULAR SUBVENCIONADO;IV Medio;Medio;Medio bajo;294;Más bajo;234;Más bajo;263;Más bajo;214;Más bajo;La Cisterna;GRAN AVENIDA JOSÉ MIGUEL CARRERA 8250;68;Más bajo;68;Más bajo;67;Similar;72;Similar;71;Similar;70;Más bajo;64;Más bajo;74;Similar
9801;COLEGIO POLIV. SAINT ORLAND;PARTICULAR SUBVENCIONADO;IV Medio;Medio;Medio;288;Más alto;248;Similar;262;Similar;234;Más bajo;La Cisterna;IGNACIO ECHEVERRIA 8020;71;Similar;70;Más bajo;64;Más bajo;73;Más bajo;74;Similar;74;Similar;65;Más bajo;77;Similar
31030;ESCUELA PRE MILITAR HEROES DE LA CONCEPCION;PARTICULAR SUBVENCIONADO;IV Medio;Medio bajo;;231;Más bajo;227;Más bajo;225;Más bajo;199;Más bajo;La Cisterna;AMERICO VESPUCIO 711;71;Similar;66;Más bajo;60;Más bajo;71;Más bajo;71;Similar;69;Más bajo;61;Más bajo;73;Más bajo
9771;CHILEAN EAGLES COLLEGE - LA CISTERNA;PARTICULAR SUBVENCIONADO;IV Medio;Medio bajo;Medio;258;Más alto;246;Similar;287;Más alto;269;Más alto;La Cisterna;IQUIQUE 7020;74;Similar;74;Similar;65;Más bajo;75;Similar;77;Similar;75;Similar;70;Similar;79;Similar
9701;LICEO POLIVALENTE OLOF PALME;PUBLICO;IV Medio;Medio bajo;Medio;213;Más bajo;226;Más bajo;247;Más bajo;233;Más bajo;La Cisterna;JULIO COVARRUBIAS 9370 S/N;78;Más alto;74;Similar;71;Similar;79;Similar;71;Similar;72;Similar;63;Más bajo;72;Más bajo
9758;COLEGIO SANTA ISABEL DE HUNGRIA;PARTICULAR SUBVENCIONADO;IV Medio;Medio;Medio;281;Similar;263;Similar;288;Más alto;250;Más alto;La Cisterna;SANTA ANSELMA 0240 S/N;71;Similar;74;Similar;67;Similar;76;Similar;71;Similar;74;Similar;65;Más bajo;77;Similar
9759;LICEO LAURA VICUNA;PARTICULAR SUBVENCIONADO;IV Medio;Medio;Medio bajo;278;Similar;270;Más alto;261;Más bajo;263;Más alto;La Cisterna;GRAN AVENIDA 9042;70;Similar;72;Similar;65;Similar;71;Más bajo;75;Similar;79;Más alto;67;Similar;80;Más alto
25265;COLEGIO ANTIL MAWIDA;PARTICULAR SUBVENCIONADO;IV Medio;Medio;Medio;257;Más bajo;251;Más bajo;274;Más bajo;243;Más bajo;La Cisterna;21 DE MAYO 043;79;Más alto;81;Más alto;71;Similar;79;Más alto;73;Similar;78;Similar;73;Más alto;75;Similar
9827;COLEGIO IDOP LIMITADA;PARTICULAR SUBVENCIONADO;IV Medio;Medio;Medio;260;Más alto;241;Similar;250;Más bajo;238;Similar;La Cisterna;VICUNA MACKENNA 316;75;Similar;72;Similar;68;Similar;77;Similar;70;Más bajo;74;Similar;65;Más bajo;74;Similar
9797;COLEGIO ADVENTISTA LA CISTERNA;PARTICULAR SUBVENCIONADO;IV Medio;Medio;Medio;267;Más bajo;245;Más bajo;272;Más alto;267;Más alto;La Cisterna;AVENIDA OSSA 0203;76;Similar;83;Más alto;75;Más alto;79;Similar;74;Similar;76;Similar;72;Similar;71;Más bajo
9553;COLEGIO KING´S SCHOOL;PARTICULAR SUBVENCIONADO;IV Medio;Medio;Medio;252;Más bajo;244;Más bajo;252;Más bajo;230;Más bajo;San Miguel;CARMEN MENA 728;73;Similar;73;Similar;66;Similar;75;Similar;76;Similar;78;Similar;70;Similar;79;Similar
9570;INSTITUTO MIGUEL LEON PRADO;PARTICULAR SUBVENCIONADO;IV Medio;Alto;Alto;345;Más alto;287;Más alto;301;Más alto;280;Más alto;San Miguel;GRAN AVENIDA 3696;75;Similar;78;Más alto;72;Más alto;84;Más alto;73;Similar;75;Similar;67;Más bajo;82;Más alto
9406;LICEO ANDRES BELLO;PUBLICO;IV Medio;Medio;;271;Más bajo;250;Más bajo;265;Similar;233;Más bajo;San Miguel;SOTO AGUILAR 1241;71;Similar;65;Más bajo;66;Similar;76;Similar;72;Similar;70;Más bajo;61;Más bajo;76;Similar
9519;COLEGIO BICENTENARIO SANTO CURA DE ARS;PARTICULAR SUBVENCIONADO;IV Medio;Medio;Medio;288;Más bajo;285;Más alto;295;Más alto;259;Similar;San Miguel;CARMEN MENA 939 S/N;68;Más bajo;67;Más bajo;63;Más bajo;70;Más bajo;75;Similar;70;Más bajo;66;Más bajo;75;Similar
9564;COLEGIO PARROQUIAL SAN MIGUEL;PARTICULAR SUBVENCIONADO;IV Medio;Medio;Medio;322;Más alto;291;Más alto;294;Más alto;267;Más alto;San Miguel;GRAN AVENIDA 3548;75;Similar;74;Similar;69;Similar;74;Similar;76;Similar;78;Más alto;70;Similar;82;Más alto
9405;LICEO BETSABE HORMAZABAL DE ALARCON;PUBLICO;IV Medio;Medio bajo;;241;Similar;257;Más alto;243;Más bajo;234;Más bajo;San Miguel;GASPAR BANDA 4047;73;Similar;74;Similar;65;Similar;80;Más alto;75;Similar;71;Más bajo;67;Similar;75;Similar
9504;ESCUELA PARTICULAR Y COLEGIO CHILE;PARTICULAR SUBVENCIONADO;IV Medio;Medio;Medio;252;Más bajo;245;Más bajo;267;Más bajo;245;Más bajo;San Miguel;PIRAMIDE 1089;75;Similar;75;Similar;70;Similar;78;Similar;68;Más bajo;64;Más bajo;59;Más bajo;67;Más bajo
9484;COLEGIO SANTA ROSA;PARTICULAR SUBVENCIONADO;IV Medio;Medio;Medio;282;Más bajo;260;Más bajo;271;Más bajo;260;Similar;San Miguel;AVDA. BERLIN 930;73;Similar;74;Similar;68;Similar;78;Similar;73;Similar;76;Similar;69;Similar;76;Similar
25798;COLEGIO RELIGIOSO SANTA MARGARITA;PARTICULAR SUBVENCIONADO;IV Medio;Medio bajo;Medio;236;Más bajo;241;Similar;252;Más bajo;252;Similar;San Miguel;AV. DEPARTAMENTAL 818;70;Más bajo;74;Similar;67;Similar;74;Similar;76;Similar;80;Más alto;70;Similar;83;Más alto
11812;COLEGIO TOMAS MORO;PARTICULAR SUBVENCIONADO;IV Medio;Medio;Medio;261;Más alto;256;Más alto;261;Más bajo;242;Más bajo;San Miguel;CARMEN MENA 882;68;Más bajo;68;Más bajo;64;Más bajo;69;Más bajo;74;Similar;73;Similar;69;Similar;76;Similar
25894;COLEGIO MANANTIAL DE SAN MIGUEL;PARTICULAR SUBVENCIONADO;IV Medio;Medio;Medio;284;Similar;267;Similar;277;Similar;246;Más bajo;San Miguel;NOVENA AVENIDA 1386;68;Más bajo;71;Similar;62;Más bajo;72;Similar;69;Más bajo;74;Similar;59;Más bajo;70;Más bajo
25718;COLEGIO PART. LOS ANGELES SANTIAGO DE SAN MIG;PARTICULAR SUBVENCIONADO;IV Medio;Insuficiente;Medio bajo;203;Más bajo;212;Más bajo;253;Más bajo;228;Más bajo;San Miguel;CARMEN MENA 1071;68;Más bajo;65;Más bajo;63;Más bajo;63;Más bajo;74;Similar;66;Más bajo;64;Más bajo;74;Similar
11818;COMPLEJO EDUC.PARTICULAR DE LAS ACACIAS;PARTICULAR SUBVENCIONADO;IV Medio;Medio bajo;Medio bajo;217;Más bajo;218;Más bajo;240;Más alto;225;Similar;El Bosque;LAS ESMERALDAS 11475 11475;73;Similar;72;Más bajo;65;Más bajo;73;Más bajo;73;Similar;72;Similar;63;Más bajo;74;Más bajo
9844;COLEGIO EL ALMENDRO;PARTICULAR SUBVENCIONADO;IV Medio;Medio;Medio;231;Más bajo;241;Similar;248;Similar;251;Más alto;El Bosque;GENERAL SILVA 12100;75;Similar;78;Similar;76;Más alto;79;Similar;72;Similar;72;Similar;70;Similar;75;Similar
9768;ESCUELA Y LICEO LIAHONA;PARTICULAR SUBVENCIONADO;IV Medio;Medio;Medio;294;Más bajo;271;Similar;282;Similar;268;Más alto;El Bosque;GRAN AVENIDA 9598 9598;71;Similar;74;Similar;69;Similar;78;Similar;73;Similar;75;Similar;72;Similar;77;Similar
10607;COLEGIO DOMINGO EYZAGUIRRE;PARTICULAR SUBVENCIONADO;IV Medio;Medio;Medio;241;Más alto;240;Más alto;258;Más alto;223;Similar;San Bernardo;FONTECILLA 107;73;Similar;77;Similar;66;Más bajo;79;Similar;82;Más alto;78;Similar;73;Similar;83;Más alto
25464;COLEGIO POLIVALENTE AGUSTINIANO DE EL BOSQUE;PARTICULAR SUBVENCIONADO;IV Medio;Alto;Medio;307;Más alto;261;Similar;293;Más alto;262;Más alto;El Bosque;AVDA. CENTRAL 555;72;Similar;76;Similar;67;Similar;77;Similar;74;Similar;81;Más alto;73;Más alto;83;Más alto
9852;ESCUELA PARTICULAR VILLA EL SOL;PARTICULAR SUBVENCIONADO;IV Medio;Medio;Medio;281;Similar;263;Similar;295;Más alto;271;Más alto;El Bosque;ALEJANDRO GUZMAN 373;72;Similar;76;Similar;71;Similar;77;Similar;73;Similar;74;Similar;69;Similar;77;Similar
9780;COLEGIO TENIENTE DAGOBERTO GODOY;PARTICULAR SUBVENCIONADO;IV Medio;Insuficiente;Medio bajo;203;Más bajo;207;Más bajo;233;Más bajo;198;Más bajo;El Bosque;LAS ARAUCARIAS 10511;72;Similar;63;Más bajo;58;Más bajo;67;Más bajo;74;Similar;62;Más bajo;62;Más bajo;73;Más bajo
25655;COLEGIO SANTO TOMAS DE AQUINO;PARTICULAR SUBVENCIONADO;IV Medio;Medio;Alto;304;Similar;270;Similar;298;Más alto;274;Más alto;El Bosque;GRAN AV. JOSÉ MIGUEL CARRERA Nº 13231 PARADERO 39 13231;73;Similar;74;Similar;67;Similar;74;Similar;73;Similar;74;Similar;67;Similar;72;Más bajo
25304;COLEGIO PAUL HARRIS SCHOOL;PARTICULAR SUBVENCIONADO;IV Medio;Medio bajo;Medio bajo;222;Más bajo;220;Más bajo;234;Más bajo;233;Más bajo;El Bosque;LO MORENO 215;69;Más bajo;65;Más bajo;64;Más bajo;68;Más bajo;69;Más bajo;64;Más bajo;59;Más bajo;67;Más bajo
25256;ESCUELA BASICA THE FOREST COLLEGE;PARTICULAR SUBVENCIONADO;IV Medio;Medio;Medio;275;Similar;228;Más bajo;271;Más alto;240;Similar;El Bosque;ALEJANDRO GUZMAN 55;77;Similar;77;Similar;69;Similar;79;Similar;70;Similar;69;Más bajo;66;Similar;72;Más bajo
10604;COLEGIO VILLA SANTA MARIA;PARTICULAR SUBVENCIONADO;IV Medio;Medio;Medio;260;Similar;243;Similar;263;Similar;239;Similar;El Bosque;GRAN AVDA. JOSE M. CARRERA 10291;65;Más bajo;65;Más bajo;60;Más bajo;64;Más bajo;74;Similar;76;Similar;71;Similar;79;Similar
26025;COLEGIO SANTA BARBARA COLLEGE;PARTICULAR SUBVENCIONADO;IV Medio;;Medio;;;;;266;Similar;243;Similar;El Bosque;GENERAL SILVA 12039;72;Similar;84;Más alto;69;Similar;85;Más alto;;;;;;;;
9834;COLEGIO POLITEC. MARIA GRISELDA VALLE S.;PARTICULAR SUBVENCIONADO;IV Medio;Medio bajo;Medio;233;Similar;235;Más alto;250;Más alto;230;Similar;El Bosque;LO MARTINEZ 923;73;Similar;71;Más bajo;67;Similar;74;Más bajo;75;Similar;70;Más bajo;67;Similar;75;Similar
10626;COLEGIO JUAN BAUTISTA DURAN;PARTICULAR SUBVENCIONADO;IV Medio;Medio bajo;Medio;240;Similar;234;Similar;240;Más bajo;240;Similar;El Bosque;LO MORENO 070;76;Similar;78;Similar;70;Similar;77;Similar;66;Más bajo;71;Más bajo;68;Similar;75;Similar
9824;COMPLEJO EDUCACIONAL STELLA MARIS;PARTICULAR SUBVENCIONADO;IV Medio;Medio bajo;Medio;226;Más bajo;222;Más bajo;256;Más bajo;232;Más bajo;El Bosque;PRIMERA TRANSVERSAL 10516;69;Más bajo;75;Similar;71;Similar;74;Similar;71;Similar;73;Similar;67;Similar;76;Similar
10632;CENTRO EDUC. DENVER COLORADO SCHOOL;PARTICULAR SUBVENCIONADO;IV Medio;Medio bajo;Medio bajo;206;Más bajo;201;Más bajo;266;Similar;245;Similar;El Bosque;LO MORENO 59;78;Más alto;82;Más alto;78;Más alto;84;Más alto;73;Similar;68;Más bajo;66;Más bajo;71;Más bajo
